name;description
Tiger Italia;"Tiger è un'Azienda giovane, dinamica, originale, poco convenzionale, divertente, piena di colori, allegra, musicale, vivace... ma soprattutto professionale!

Nei nostri negozi il lavoro è tanto vario quanto dinamico; nessuno si annoia e tutti sono molto attivi."
Bricoman Italia;"In Bricoman le persone sono una ricchezza importante. Il successo della nostra impresa è infatti nelle mani, nel cuore e nelle capacità di ogni collaboratore, uomini e donne che quotidianamente operano al servizio del Cliente. 

Appassionarsi al nostro mestiere, vivere i nostri valori, condividere gli obiettivi per crescere insieme nelle competenze e nei risultati, sono concetti alla base del nostro progetto formativo: il nostro management favorisce infatti processi di responsabilizzazione e di decisione, verificando che siano sempre vicini al prodotto, al terreno e alla vita di tutti i giorni in Negozio. "
Club Med;Club Med, oltre all'esperienza di vita che offre ai propri collaboratori, dei villaggi o degli uffici, propone un modello unico in termini di percorso di carriera e possibilità di occupazione. La natura stessa dei posti di lavoro è fonte di motivazione, di esperienze di vita intense, ricche di scambi, il tutto in un contesto internazionale. Lo sviluppo dei talenti è una sfida prioritaria per Club Med che ha deciso, dal 2006, di dotarsi di un'Università dei talenti. La sua missione è proprio lo sviluppo e la conservazione di questo prezioso capitale.
Gamestop;Siamo un’organizzazione multinazionale, molto simile tuttavia alle startup di successo, con le quali condividiamo la creatività e la velocità di cambiamento. Offriamo un ambiente innovativo, reattivo ed incentrato sulla crescita delle persone, aspetti fondamentali per supportare al meglio l’evoluzione di Gamestop e l’ingresso in nuovi importanti business. Si tratta inoltre di un contesto giovane ed informale, stimolante sia per le posizioni dell’HQ che per quelle in negozio.
Salini Impregilo;"We offer a unique opportunity to gain a strong international experience working on major and complex infrastructure projects that will improve the lives of people in five continents.

Working with us means belonging to a dynamic, competitive and multicultural organization, where you can develop the skills and expertise that are required for a career with the industry’s best professionals
Combining the vibrant energy of young talents with the outstanding technical expertise of the company’s experienced staff is one of the driving forces behind our efforts to bolster our growth.

Join a top player and make the difference!
"
Neomobile;"Neomobile è una società internazionale e dall’ambiente dinamico, un vero e proprio meltin pot di culture e lingue diverse. I nostri uffici all’avanguardia sono il luogo ideale in cui la creatività, l'innovazione ed il lavoro di squadra si intrecciano. 

L’azienda investe quotidianamente in strategie che puntano a migliorare le competenze dei colleghi, sia soft che hard, proprio perché l’apprendimento e miglioramento continuo è uno dei nostri valori chiave. 

Numerose sono anche le opportunità di carriera, come ad esempio country e job rotation in azienda.  
"
FiloBlu;"Offriamo una continua formazione on the job. Un luogo di lavoro dove si possono sviluppare le proprie idee, dove il team vince e la creatività, l’iniziativa e la proattività sono valori top of the list.

Puntiamo da sempre sul talento e sull’intuizione e offriamo un ambiente in cui esprimere al meglio le proprie qualità, confrontandosi con obiettivi sfidanti e con opportunità sempre nuove, in un contesto dinamico e veloce.

Le grandi opportunità di crescita professionale nascono e si sviluppano in un clima di costante team building in cui ogni risorsa trova la propria collocazione in interazione trasversale tra reparti."
Microsoft;"Il Mach – Microsoft Academy for College Hires è il programma pensato da Microsoft per l’inserimento in azienda di giovani e brillanti laureandi e neolaureati in Economia, Ingegneria, Informatica, Marketing e Comunicazione. Si tratta di un percorso, che ha lo scopo di facilitare il passaggio dal mondo universitario a quello del lavoro, fornendo il giusto equilibrio tra l’esperienza lavorativa, la formazione e il supporto continuo da parte dell’azienda.
Il Microsoft Academy for College Hires offre ai candidati selezionati un’esperienza di formazione e lavoro a 360 gradi, e concrete opportunità di carriera all’interno della nota multinazionale leader nel settore informatico. Il programma, infatti, prevede l’assunzione in Microsoft dopo i primi 12 mesi ed i partecipanti possono contare sul sostegno di una rete di oltre 2.500 dipendenti distribuiti su più di 60 paesi, entrando a far parte di una community internazionale."
ipagoo;"As well as the challenge, we offer a competitive salary with the potential for stock options and an upcoming suite of benefits to include:
Core benefits including medical cover, income protection and life assurance
Salary sacrifice on tech, childcare and cycle to work, and discounted travel, dining and gym membership."
Roche;"Per noi aggiungere una nuova risorsa in azienda e un momento cruciale e per questo realizziamo programmi di accoglienza rivolti ai neo assunti: i primi giorni in azienda i nuovi colleghi ricevono una serie di informazioni durante incontri dedicati con varie funzioni e con il proprio line manager. 
MPD Partners;"The intern will be involved in the life of a young and busy company active in the Private Equity environment. In close collaboration with a small team of strongly experienced investment managers and analysts, the formative tasks will be: - Understanding the investment logic in the Private Equity & Venture Capital context - Scouting and analyzing late stage start-ups - Conducting company and market analyses - Managing target company & investor database Return offers will be offered to excellent candidates at the end of the internship.  "
TACK International Ltd;Today TACK is proud to operate in 42 countries, designing and delivering training solutions in over 30 languages for clients who span every industry, size and scale. We continue to learn from our diverse client base and through regular research. We aim to bring that learning to every project in which we are privileged to be involved.
Zodio Italia;"Un contesto di sviluppo e crescita di una insegna nella quale troverai convivialità, senso, polivalenza, non poche difficoltà… (la strada non sempre è semplice!)

Se rispondi più SI che NO alle affermazioni qui sotto, BRAVO!!! Hai ottime chances di far parte della fantastica famiglia ZODIO:

1) Sono appassionato di cucina o decorazione creativa o mi piace decorare la tavola ed accogliere amici e parenti

2) Mi piacerebbe incontrare degli amici al lavoro

3) Mi piacerebbe coniugare ambiente di lavoro e gioia di vivere

4) Ho voglia di rivelare il mio INCREDIBILE talento

5) Ho troppa voglia di organizzare delle feste a tema per appassionati come me!!! "
Bricocenter Italia;"Formazione 
Fin dai primi passi in azienda pensiamo insieme a te un cammino fatto di aule di formazione, affiancamenti a collaboratori con esperienza, corsi in modalità e-learning, blog e social network per aiutarti a imparare il tuo nuovo mestiere.

In Bricocenter ognuno di noi si impegna a formarsi e ha l’opportunità di trasmettere le proprie conoscenze e competenze agli altri.

Sviluppo
Ci impegniamo per mettere in valore i punti di forza di ognuno e favorire la crescita attraverso piani di sviluppo costituiti da formazioni, affiancamenti, accompagnamenti e partecipazione a progetti trasversali.

I percorsi di sviluppo individuali sono costruiti insieme da collaboratore e manager perchè la crescita e la realizzazione personale sono il nostro principale impegno!"
Allenarsi Per il Futuro;Offriamo un percorso di orientamento altamente professionalizzante per tutte le scuole e le università di Italia che credono nella forza propulsiva dell'alternanza Scuola-Lavoro
